ts,event_type,payload_json
2026-05-10T01:52:18.902107+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-timeout-bc016e5f"", ""status"": ""TIMEOUT"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 0.0, ""fee_usdt"": 0.0, ""slippage_pct"": 0.0, ""created_at"": ""2026-05-10T01:52:18.902071+00:00""}"
2026-05-10T01:52:18.903054+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""4400dfaa-3cd5-4524-9ef5-b6a9c78f9284"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:56:52.982803+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-90f70f9918"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100057.507876, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0575, ""created_at"": ""2026-05-10T01:56:52.982739+00:00""}"
2026-05-10T01:56:54.779902+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:56:54.780965+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-4752e83dc1"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.00048, ""fee_usdt"": 0.005, ""slippage_pct"": 0.048, ""created_at"": ""2026-05-10T01:56:54.780929+00:00""}"
2026-05-10T01:56:54.781932+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""53af7f03-a47a-4aa0-9327-7253bafa6cd6"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T02:16:29.423689+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-cd12e4f094"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100043.140934, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0431, ""created_at"": ""2026-05-10T02:16:29.423650+00:00""}"
2026-05-10T02:16:31.332885+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T02:16:31.333968+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-56134f1785"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.00043, ""fee_usdt"": 0.005, ""slippage_pct"": 0.043, ""created_at"": ""2026-05-10T02:16:31.333933+00:00""}"
2026-05-10T02:16:31.334960+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""a12ef34f-d576-48cd-a524-94d9787e9627"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
